,El_Cap_Height,El_Cap_TOC
M1804 0.1,0.1,0.026346288
M1804 0.75,0.8,0.015310856
M1804 1.6,1.6,0.036736126
M1804 2.2,2.2,0.02995895
M1804 3.6,3.6,0.013617238
M1804 4.0,4,0.044996457
M1804 4.5,4.5,0.010385207
M1804 4.6,4.6,0.013493459
M1804 4.8,4.8,0.00641857
M1804 5.1,5.1,0.012956159
M1804 5.3,5.3,0.033214733
M1804 5.5,5.5,0.006731348
M1804 5.65,5.7,0.032448269
M1804 5.8,5.8,0.005502369
M1804 6.0,6,0.012050525
M1804 7.1,7.1,0.01638609
M1804 7.3,7.3,0.021994708
M1804 7.5,7.5,0.017130489
M1804 7.6,7.6,0.017284155
M1804 7.8,7.8,0.013671949
M1804 8.1,8.1,0.049971522
M1804 8.3,8.3,0.049740436
M1804 8.4,8.4,0.048469853
M1804 8.5,8.5,0.00999769
M1804 8.6,8.6,0.017130572
M1804 8.7,8.7,0.024020047
M1804 9.0,9,0.042779871
M1804 9.4,9.4,0.017300856
M1804 9.9,9.9,0.022972718
M1804 10.3,10.3,0.014847275
M1804 10.7,10.7,0.024196774
M1804 11.3,11.3,0.018897719
M1802 2.0,22,0.018680583
M1802 2.5,22.5,0.03442153
M1802 3.0,23,0.017488212
M1802 3.4,23.4,0.037705178
M1802 4.0,24,0.014633807
M1802 4.3,24.3,0.035899181
M1802 4.6,24.6,0.019633918
M1802 5.0,25,0.038356739
M1802 5.3,25.3,0.010026107
M1803 0.1,38.2,0.020839621
M1803 0.9,39,0.015470308
M1803 1.8,39.9,0.038652147
M1803 2.6,40.7,0.027826221
M1803 3.6,41.7,0.023896267
M1803 4.7,42.8,0.020800421
M1803 5.7,43.8,0.02241736
M1803 6.7,44.8,0.017465167
M1803 7.7,45.8,0.022538954
M1803 8.6,46.7,0.013186651
M1803 9.5,47.6,0.023018686
M1803 10.3,48.4,0.028385165
M1803 11.5,49.6,0.017444655
M1803 12.5,50.6,0.017535929
M1803 13.3,51.4,0.022127239
M1803 14.0,52.1,0.012982185
M1803 16.6,54.7,0.01190646
M1803 17.3,55.4,0.015826868
M1803 18.5,56.6,0.02999401
M1801 0.1,58.5,0.024082775
M1801 0.35,58.8,0.030158279
M1801 0.7,59.1,0.021736505
M1801 1.0,59.4,0.022858552
M1801 1.4,59.8,0.04199461
M1801 1.7,60.1,0.021411362
M1801 1.9,60.3,0.027789891
M1801 2.2,60.6,0.024569123
M1801 2.5,60.9,0.033905354
M1801 2.9,61.3,0.027231107
M1801 3.25,61.7,0.037222329
M1801 3.55,62,0.024607561
M1801 3.8,62.2,0.033634637
M1801 4.1,62.5,0.026475484
M1801 4.6,63,0.038477852
M1801 5.05,63.5,0.028565529
M1801 5.1,63.5,0.045533976
M1801 5.3,63.7,0.043400325
M1801 5.7,64.1,0.036516374
M1801 6.0,64.4,0.028669881
M1801 6.2,64.6,0.024772904
M1801 6.6,65,0.026691187
M1801 7.0,65.4,0.026046138
M1801 7.6,66,0.021403338
M1801 7.8,66.2,0.020449578
M1801 8.3,66.7,0.011767372
M1801 8.6,67,0.017586524
M1801 9.25,67.7,0.046425955
M1801 9.5,67.9,0.029822824
M1801 10.0,68.4,0.033236315
M1801 10.3,68.7,0.039976867
M1801 10.8,69.2,0.029235378
M1801 11.2,69.6,0.048066635
M1801 11.8,70.2,0.018397974
M1801 12.2,70.6,0.032886376
M1801 12.5,70.9,0.038648827
M1801 12.8,71.2,0.022157766
M1801 13.2,71.6,0.031968376
M1801 13.8,72.2,0.022783241
M1801 14.2,72.6,0.020615955
M1801 14.6,73,0.018798418
M1801 15.0,73.4,0.034519191
M1801 15.5,73.9,0.021601555
M1801 16.0,74.4,0.057112563
M1801 16.3,74.7,0.037404297
M1801 16.9,75.3,0.048971176
,75.6626506,0.031578947
